x,y,z,us_mag_0,noise_values,us_mag_noisy_0
0.019503696,0.027064189,0.022903863,-0.423535258,-0.007568334,-0.431103592
0.020344246,0.028285794,0.02261419,-0.431348294,-0.00167992,-0.433028214
0.019764764,0.027778415,0.023119489,-0.417837977,0.005053749,-0.412784228
0.020011108,0.027188756,0.022950644,-0.408579469,0.008886576,-0.399692893
0.020499012,0.02766153,0.022868266,-0.184067741,0.017222663,-0.166845078
0.01842189,0.026785769,0.023153851,-0.430947989,-0.000607346,-0.431555335
0.019175315,0.027586984,0.023415584,-0.412935287,0.004181466,-0.408753821
0.018723775,0.02766089,0.023351444,-0.420707017,-0.00589505,-0.426602067
0.019252863,0.027283538,0.02349305,-0.414694786,-0.002805737,-0.417500523
0.02065859,0.026816303,0.022716738,-0.173178732,-0.000376002,-0.173554734
0.018903984,0.027232938,0.023548508,-0.417962372,0.006880843,-0.411081529
0.018993059,0.027757589,0.023504147,-0.408905506,-0.013658773,-0.422564279
0.019476468,0.02718972,0.02364745,-0.297492504,-0.000285,-0.297777504
0.017330734,0.026507437,0.023198983,-0.440556854,0.004176616,-0.436380238
0.01822638,0.027642701,0.023413727,-0.433829635,0.002944642,-0.430884993
0.019519053,0.02705431,0.023772296,-0.130903795,0.000617553,-0.130286242
0.020992044,0.027380714,0.023293387,0.091212757,0.002684468,0.093897225
0.017704913,0.026190352,0.023847278,-0.191909224,0.004365152,-0.187544072
0.017788163,0.027171256,0.023585273,-0.435676038,0.007315073,-0.428360965
0.017698331,0.027534105,0.023236379,-0.449154794,-0.006933845,-0.456088639
0.018949548,0.027672421,0.023775924,-0.397803277,-0.011462002,-0.409265279
0.021861164,0.028666211,0.022327488,0.016951762,0.010922221,0.027873983
0.019655237,0.02738083,0.024070093,0.056815688,0.019415382,0.07623107
0.019836526,0.02697181,0.02428788,0.058370207,0.010686402,0.069056609
0.017796159,0.027060406,0.024057828,-0.197440758,-0.01555981,-0.213000568
0.018185528,0.027405089,0.024051186,-0.389690429,-0.016887522,-0.406577951
0.017899338,0.027274339,0.02408961,-0.220197424,0.004122755,-0.216074669
0.018694138,0.027325908,0.024324514,0.043891721,-0.002814946,0.041076775
0.017963564,0.027304199,0.024459954,0.0225701,0.008316305,0.030886405
0.017674325,0.027604694,0.022652168,-0.476016164,0.002881002,-0.473135162
0.020749228,0.028423412,0.022133881,-0.058775555,0.000508614,-0.058266941
0.018277543,0.027621841,0.021401921,-0.49630788,0.001419415,-0.494888465
0.017057961,0.027102316,0.021220598,-0.497721255,-0.005395525,-0.50311678
0.016529314,0.026955953,0.021101859,-0.493441314,-0.00355934,-0.497000654
0.017694313,0.027270608,0.022097355,-0.48085472,-0.004331146,-0.485185866
0.01718533,0.027609265,0.021499958,-0.518211067,-0.018224078,-0.536435145
0.01748942,0.02746062,0.022186562,-0.489710599,-0.011131346,-0.500841945
0.016916215,0.027707078,0.021917719,-0.513741195,-0.001092447,-0.514833642
0.013677733,0.029970039,0.012898465,0.038874418,-0.004382724,0.034491694
0.013902381,0.029933458,0.012894201,0.038675506,-0.009103791,0.029571715
0.014122662,0.029250564,0.012126165,0.024247613,0.0105011,0.034748713
0.012814511,0.026909655,0.015804084,-0.059062969,-0.020243713,-0.079306682
0.014085155,0.028838936,0.013994508,0.014490973,0.011694782,0.026185755
0.01403419,0.029689873,0.014201867,0.038522277,0.012936367,0.051458644
0.01392358,0.029775647,0.014432161,0.042113233,-0.010322481,0.031790752
0.014654635,0.02972386,0.012172249,0.028235262,0.000718682,0.028953944
0.014057865,0.029234435,0.014958413,0.027309395,-0.002018219,0.025291176
0.014414963,0.029205697,0.010987273,0.032244798,0.002643527,0.034888325
0.014926815,0.029801639,0.012006826,0.028920854,0.000762241,0.029683095
0.015483622,0.02930525,0.012889649,0.023711573,0.003290549,0.027002122
0.015020038,0.027728936,0.011291794,0.071564414,0.007107523,0.078671937
0.015541209,0.028980317,0.012793644,0.02623355,0.008467402,0.034700952
0.015319935,0.026372824,0.014278636,-0.053152207,0.01161985,-0.041532357
0.015594332,0.029322235,0.011713152,0.028591579,0.002226956,0.030818535
0.01529716,0.02966566,0.011796842,0.025201887,0.002254278,0.027456165
0.016015802,0.026750961,0.014238703,-0.043371562,0.000496922,-0.04287464
0.014714947,0.026418107,0.016155006,-0.09503524,0.004742721,-0.090292519
0.016283218,0.028644105,0.012927466,0.029063232,-0.002122267,0.026940965
0.01543916,0.025869208,0.014044405,-0.060947429,-0.010438423,-0.071385852
0.013850689,0.026018277,0.017409468,-0.159897834,9.35E-05,-0.159804329
0.01327435,0.029671496,0.016307732,0.043266092,-0.011536328,0.031729764
0.014578316,0.024465671,0.0151435,-0.165140629,0.00094984,-0.164190789
0.01531353,0.024757676,0.015045031,-0.161323458,0.006599664,-0.154723794
0.015657742,0.024843639,0.015215044,-0.169321567,0.001548444,-0.167773123
0.015071819,0.029127611,0.016105782,0.033941515,-0.008841414,0.025100101
