x,y,z,us_mag_0,noise_values,us_mag_noisy
0.059144337,0.013590919,-0.14415918,-0.28878928,0.002337764,-0.286451516
0.036433551,0.035831999,-0.12352581,-0.110154896,-0.005826958,-0.115981854
0.05886247,0.018379988,-0.15328951,-0.144949128,0.031048467,-0.113900661
0.070877522,-0.00966839,-0.13492779,-0.091168141,0.014475117,-0.076693024
0.058927774,0.015222091,-0.15344833,-0.161384934,-0.002014142,-0.163399076
0.065463722,0.002884538,-0.15253937,-0.168872935,-0.019788365,-0.1886613
0.041831609,0.000306703,-0.14242873,-0.077780984,-0.00239856,-0.080179543
0.047372852,0.011274021,-0.13485564,-0.217746211,0.02188437,-0.195861842
0.056604169,-0.00575273,-0.15408748,-0.10735848,0.00574873,-0.10160975
0.050723318,0.024685662,-0.13893656,-0.330724225,0.033379646,-0.297344579
0.022055399,0.026816728,-0.13511574,-0.391374391,4.00E-05,-0.391334381
0.017670419,0.02332885,-0.14107859,-0.072635995,-0.02624328,-0.098879275
0.053535827,0.005772036,-0.13221875,-0.135754299,0.004567355,-0.131186944
0.07417655,-0.005625985,-0.13534622,-0.088105546,-0.004625595,-0.09273114
0.065295562,0.006544925,-0.14567143,-0.199414603,-0.004047003,-0.203461606
0.064515151,-0.002274549,-0.15892147,-0.106678541,0.001339344,-0.105339197
0.039059412,0.01362511,-0.13834134,-0.210738094,0.004852175,-0.205885918
0.041402675,0.018304842,-0.14002529,-0.591664266,-0.002594267,-0.594258532
0.071512483,-0.002909963,-0.1616694,-0.105837236,-0.009683003,-0.11552024
0.079905391,-0.009512982,-0.14396106,-0.079381516,-0.021484409,-0.100865925
0.063192539,-0.014726388,-0.13557604,-0.097741173,9.59E-05,-0.097645312
0.049807128,0.001009146,-0.14011003,-0.194834374,0.00375443,-0.191079944
0.051758576,-0.002711611,-0.14501527,-0.178357129,-0.002026965,-0.180384094
0.024027107,0.027140575,-0.14581138,-0.257234892,0.00184768,-0.255387211
0.079520248,0.004165978,-0.146374,-0.070219741,-0.009719711,-0.079939451
0.041501164,0.025291191,-0.1548426,-0.127139682,-0.006716038,-0.13385572
0.076120168,-0.010623857,-0.13685824,-0.079107205,-0.00161628,-0.080723485
0.069190659,-0.004613614,-0.15443952,-0.130763959,0.002010834,-0.128753125
0.071988836,-0.010270342,-0.14878517,-0.116945022,-0.006914858,-0.12385988
0.058371745,-0.001993256,-0.15807243,-0.095143866,-0.013153504,-0.10829737
0.053458799,-0.012779033,-0.15100126,-0.085074781,-0.018010316,-0.103085097
0.061913531,-0.002200544,-0.13258466,-0.108431593,-0.006063359,-0.114494951
0.070310093,-0.004202304,-0.16223733,-0.099132242,-0.006481999,-0.105614241
0.027366767,0.037127264,-0.14748843,-0.082380069,-0.015057094,-0.097437162
0.058875505,0.009766165,-0.14122637,-0.281365192,0.004034372,-0.27733082
0.0660173,-0.001581039,-0.15742446,-0.123775594,-0.006967817,-0.130743411
0.022196665,0.027642109,-0.13841502,-0.352886902,-0.009201925,-0.362088827
0.077280477,-0.015752777,-0.15490834,-0.06743145,-0.01305086,-0.08048231
0.042452194,0.017392522,-0.14637233,-0.488904673,-0.012789957,-0.501694631
0.082414739,0.000994259,-0.15015078,-0.07782158,-0.008378808,-0.086200388
0.036665089,0.041412551,-0.13683473,-0.100652494,0.007233953,-0.093418541
0.049265273,-0.009250469,-0.1556946,-0.072579431,-0.005923533,-0.078502964
