x,y,z,us_x,us_y,us_z,us_mag_0,r_x,r_y,r_z
0.020992044,0.027380714,0.023293387,-0.003900567,0.094393813,-0.006359044,0.094688139,-0.041193833,0.99689162,-0.067157764
0.017704913,0.026190352,0.023847278,0.001113561,-0.186752143,0.01351854,-0.187244103,-0.005947107,0.997372631,-0.072197416
0.017788163,0.027171256,0.023585273,0.002952549,-0.426854257,0.030025806,-0.427919179,-0.006899782,0.997511396,-0.070167003
0.017698331,0.027534105,0.023236379,0.002642753,-0.442068531,0.029559066,-0.443063549,-0.005964728,0.997754231,-0.066715183
0.018949548,0.027672421,0.023775924,0.007542364,-0.387592501,0.02820684,-0.388690699,-0.019404539,0.997174621,-0.072568859
0.019655237,0.02738083,0.024070093,-0.001600305,0.059329144,-0.004491468,0.05952043,-0.026886642,0.996786213,-0.075460949
0.019836526,0.02697181,0.02428788,-0.00174567,0.06062862,-0.004710892,0.060836415,-0.02869449,0.99658436,-0.077435395
0.017796159,0.027060406,0.024057828,0.001349359,-0.192921881,0.014529635,-0.193472952,-0.006974405,0.997151689,-0.075099049
0.018185528,0.027405089,0.024051186,0.004261462,-0.380463758,0.028732991,-0.381570984,-0.011168201,0.997098243,-0.075301824
0.017899338,0.027274339,0.02408961,0.001756661,-0.216427982,0.016411098,-0.217056401,-0.008093107,0.99710481,-0.07560753
0.017674325,0.027604694,0.022652168,0.002691302,-0.470145796,0.028505048,-0.471016826,-0.005713812,0.998150745,-0.060518111
0.020749228,0.028423412,0.022133881,0.002219882,-0.056695936,0.003149059,-0.056826698,-0.039064067,0.997698934,-0.055415125
0.018277543,0.027621841,0.021401921,0.006010549,-0.491979982,0.023214926,-0.492564069,-0.012202574,0.998814191,-0.047130774
0.017057961,0.027102316,0.021220598,-0.000444314,-0.492271748,0.022144301,-0.492769765,0.000901666,0.998989351,-0.044938433
0.016529314,0.026955953,0.021101859,-0.003195044,-0.487808555,0.021290313,-0.488283393,0.006543421,0.999027536,-0.04360237
0.017694313,0.027270608,0.022097355,0.002811219,-0.475013558,0.025871547,-0.475725887,-0.005909326,0.998502647,-0.054383308
0.01718533,0.027609265,0.021499958,0.000237473,-0.512889673,0.024739355,-0.513486035,-0.000462472,0.9988386,-0.048179218
0.01748942,0.02746062,0.022186562,0.001804818,-0.483981479,0.026877616,-0.48473058,-0.003723343,0.998454602,-0.055448567
