x,y,z,us_x,us_y,us_z,us_mag,r_x,r_y,r_z
0.024052175,0.025109725,0.020919792,-0.009839868,0.135902108,-0.005557407,0.13637115,-0.072155056,0.996560543,-0.040752075
0.023885431,0.024230354,0.021623794,-0.010399677,0.14854183,-0.007104576,0.149074825,-0.069761455,0.996424646,-0.047657787
0.022099664,0.025530256,0.023277456,-0.005516562,0.105732108,-0.006966423,0.106104864,-0.051991606,0.996486909,-0.065656015
0.021491334,0.027268516,0.022864182,-0.006686125,0.143400934,-0.008989042,0.143837877,-0.046483756,0.99696225,-0.062494265
0.022860909,0.023781033,0.023297239,-0.013121953,0.222034233,-0.014410213,0.222887955,-0.058872418,0.996169725,-0.064652275
0.022181651,0.023474213,0.023184311,-0.007555189,0.145531652,-0.00924597,0.146020652,-0.051740548,0.996651164,-0.063319603
0.022670887,0.024186608,0.02167668,0.006715392,-0.117042867,0.005659716,-0.117371894,-0.05721465,0.997196711,-0.048220371
0.022610648,0.025191678,0.023893651,-0.004661933,0.081291268,-0.005862384,0.081635601,-0.057106618,0.995782068,-0.071811607
0.023232386,0.023572259,0.023590043,-0.006844492,0.108984729,-0.00738705,0.109449014,-0.062535891,0.995757977,-0.067493068
0.015611405,0.019169895,0.021499582,-0.003236698,-0.214331702,0.009476886,-0.214565529,0.015084894,0.998910232,-0.044167796
0.018539118,0.01777827,0.024513183,-0.000685234,0.050413846,-0.003677287,0.050552427,-0.013554915,0.997258671,-0.072742055
0.015799614,0.017327404,0.02220715,-0.000656888,-0.050497424,0.002539103,-0.050565486,0.012990846,0.998653982,-0.050214155
0.015416662,0.018057052,0.022094367,-0.001059857,-0.062946107,0.00311831,-0.06303221,0.016814538,0.998633979,-0.049471683
0.017533483,0.018719677,0.022059113,0.00057155,-0.148774504,0.007366645,-0.14895787,-0.003836992,0.998769004,-0.049454557
0.01674585,0.019005448,0.022998657,-0.000324775,-0.083181733,0.00490006,-0.083326567,0.003897619,0.99826185,-0.058805497
