x,y,z,us_mag_0,noise_values,us_mag_noisy_0
0.011277958,0.011965361,0.006795708,-0.028673864,0.002133454,-0.02654041
0.011682761,0.011470826,0.009170315,0.032956934,0.000351528,0.033308462
0.011521753,0.013020433,0.007555718,-0.033009978,0.002247607,-0.030762371
0.005840148,0.013658345,0.008507436,0.016545272,-8.21E-05,0.016463218
0.006408507,0.014003881,0.008747187,0.017980672,-0.003145175,0.014835497
0.005835731,0.01261458,0.008735653,-0.01438606,0.001283556,-0.013102504
0.007627597,0.01305972,0.008969143,-0.086302001,0.000771383,-0.085530618
0.00912651,0.013399823,0.008510372,-0.132379833,0.000946424,-0.131433409
0.005620208,0.013163071,0.007880121,-0.022935881,0.00226694,-0.020668941
0.005234901,0.012708738,0.008684367,0.014469111,0.005105402,0.019574513
0.005889322,0.014306629,0.008045165,0.01620411,-0.002121531,0.014082579
0.006162877,0.011256958,0.008388441,-0.055177432,0.004964822,-0.05021261
0.006703601,0.015570879,0.007115274,0.01086516,0.002945779,0.013810939
0.007583079,0.014922982,0.008270244,-0.076342223,-0.000960369,-0.077302592
0.007567887,0.016061783,0.007564507,-0.010326851,-0.003739379,-0.01406623
0.007354453,0.015819764,0.008468959,0.017723715,-0.005010183,0.012713532
0.00857409,0.015413445,0.008296191,-0.158900706,0.002551184,-0.156349522
0.006104715,0.014964168,0.007131184,0.013655279,0.001919528,0.015574807
0.006903347,0.014541871,0.006068139,-0.022795376,0.001119778,-0.021675598
0.013939288,0.018007213,0.007873001,-0.105216445,0.000314203,-0.104902242
0.013593854,0.017878469,0.008182982,-0.103807285,0.003189095,-0.10061819
0.013820177,0.01772501,0.008408902,-0.092922461,0.003363417,-0.089559044
0.0137803,0.018236164,0.008328936,-0.103141549,-0.00111164,-0.104253189
0.013866651,0.017592495,0.008753229,-0.086167718,0.000690741,-0.085476977
0.013564113,0.018558443,0.008637698,-0.112773427,-0.00415966,-0.116933087
0.013632794,0.018454967,0.00808093,-0.117271307,-2.87E-05,-0.117300047
0.013474106,0.018559545,0.007795178,-0.130340508,-0.00323828,-0.133578788
0.013052359,0.017552912,0.007943801,-0.114605879,0.001794897,-0.112810982
0.013849312,0.017591359,0.009067443,0.019991892,9.35E-05,0.020085385
0.012926251,0.019447204,0.007465392,-0.179244494,-0.00492502,-0.184169514
0.013006582,0.0196472,0.007788858,0.017147913,-0.000151859,0.016996054
0.013042259,0.019255033,0.008087956,-0.098916646,-0.002398965,-0.101315611
0.013299047,0.01925767,0.007673936,-0.170527854,-0.001206699,-0.171734553
0.013109917,0.019452354,0.008522677,0.015056183,-0.00213082,0.012925363
0.012496972,0.01917674,0.008395861,0.01707487,0.005374826,0.022449696
0.012749209,0.018698093,0.008776206,0.014034331,-0.002323509,0.011710822
0.013239388,0.01875435,0.00912543,0.035873004,-0.001770342,0.034102662
0.012930669,0.018091071,0.009212446,0.05912784,0.001471356,0.060599196
0.014666935,0.016948132,0.007257849,-0.132281812,0.000524678,-0.131757134
0.013997971,0.017053532,0.00770426,-0.118209549,-0.003625698,-0.121835247
0.014102779,0.017066652,0.007870383,-0.112791041,-0.000404805,-0.113195846
0.014017396,0.01703362,0.008063369,-0.109740331,-5.04E-05,-0.109790756
0.014761973,0.016401751,0.00780155,-0.151588121,0.003485983,-0.148102138
0.014496078,0.016642407,0.008214018,-0.138415359,-0.00280501,-0.141220369
0.014822235,0.016978972,0.006737881,-0.146742155,0.004899365,-0.14184279
0.014903416,0.016667027,0.006830301,-0.152535918,0.00214968,-0.150386238
0.014890926,0.016495584,0.007212172,-0.163215773,0.006033967,-0.157181806
0.014571366,0.015943021,0.008181828,0.047550663,0.002736235,0.050286898
0.007883719,0.008895833,0.009974654,-0.016560466,-0.003209854,-0.01977032
0.007505822,0.00823967,0.009457998,-0.016026716,0.000238485,-0.015788231
0.008267638,0.009761349,0.009114207,-0.024520982,0.001187119,-0.023333863
0.003911914,0.007961227,0.007852717,-0.015576535,-0.00308153,-0.018658065
0.004396148,0.008055951,0.00876623,-0.022936338,0.003908776,-0.019027562
0.004200308,0.008320694,0.009395391,-0.016735027,0.001407257,-0.01532777
0.010984174,0.01129704,0.011992671,0.017732382,-0.000730942,0.01700144
0.010910722,0.011517132,0.0121797,0.014818764,0.001531053,0.016349817
0.010674579,0.010707267,0.012226619,0.013506991,0.000565281,0.014072272
0.011034243,0.010437339,0.011022841,0.015902148,-0.002835893,0.013066255
0.011338815,0.01113857,0.008896791,0.025359307,-0.000534777,0.02482453
0.009080878,0.015805008,0.006551952,-0.141777905,-0.003026623,-0.144804528
0.012101349,0.01483628,0.007255905,-0.106780408,0.002124053,-0.104656355
0.011010791,0.01607712,0.005543681,-0.025974454,-0.001063995,-0.027038449
0.010528456,0.014060733,0.006851885,-0.184562047,-0.003137707,-0.187699754
0.011816504,0.015608174,0.006471029,-0.163331684,0.002699683,-0.160632001
0.011133223,0.014813757,0.007861752,-0.045211326,0.001329873,-0.043881453
0.012990335,0.01631804,0.00656826,-0.157009375,-4.31E-06,-0.15701369
0.009637848,0.014052485,0.007276205,-0.173055353,-0.003023287,-0.17607864
0.010332949,0.016654212,0.008592324,-0.128539405,0.005160629,-0.123378776
0.014523515,0.013060472,0.007100744,0.019006211,-0.002456249,0.016549962
0.015026368,0.013929977,0.006753504,0.023858407,0.000743158,0.024601565
0.014744687,0.01348494,0.006020718,0.019958131,0.001679472,0.021637603
0.015288411,0.014533205,0.004906498,0.016808833,-0.002424871,0.014383962
0.015767844,0.014725836,0.005335895,0.014270131,-0.003319249,0.010950882
0.015115027,0.013978579,0.007852109,0.026563578,-0.002389096,0.024174482
0.005687607,0.008758241,0.006475089,-0.014551652,0.001335752,-0.0132159
0.005719437,0.008081506,0.006738625,-0.008482995,-0.002871011,-0.011354006
0.005297396,0.008133267,0.008106458,-0.026194651,-0.000634574,-0.026829225
0.006650947,0.008490307,0.00681578,-0.015164452,-0.001408652,-0.016573104
0.005730852,0.007153738,0.008904425,-0.014023465,-1.81E-05,-0.014041567
0.005058863,0.007712727,0.011866801,0.004332794,0.00698424,0.011317034
0.008288756,0.010617969,0.004480393,-0.009369872,-0.001789,-0.011158872
0.006882651,0.011577742,0.004909848,-0.025835376,-8.00E-05,-0.025915371
0.008238969,0.012496256,0.004367103,-0.026500447,-0.000748831,-0.027249278
0.011493037,0.011485686,0.005775223,0.032117229,0.000645729,0.032762958
0.01049285,0.011415022,0.006028054,-0.01315713,0.000817579,-0.012339551
0.010689204,0.011380964,0.004583537,0.021459069,-0.001008276,0.020450793
0.010899981,0.01218148,0.003663778,0.012304971,0.001966666,0.014271637
0.012513956,0.012126958,0.006298741,0.041356716,-0.004189362,0.037167354
0.011283399,0.012988008,0.00516715,0.025077788,-0.001565977,0.023511811
0.011846782,0.01233411,0.004069053,0.011199174,0.003120773,0.014319947
0.004371126,0.010869066,0.009428587,0.004983932,0.00612137,0.011105302
