x,y,z,us_mag,noise,us_mag_noisy
0.02252744,0.019157579,0.018822353,-0.145614237,0.000215572,-0.145398665
0.021544892,0.019252557,0.019180834,-0.168979272,-0.005648928,-0.1746282
0.02324057,0.022220755,0.019866586,-0.032050874,-0.013153435,-0.045204309
0.02195509,0.021112505,0.019207463,-0.24975197,-0.00488889,-0.25464086
0.022607377,0.020651771,0.020217823,-0.190441132,0.000421848,-0.190019284
0.022493698,0.020535475,0.018934304,-0.178244904,-0.000338906,-0.17858381
0.021490423,0.01960755,0.018675158,-0.184477702,0.006480766,-0.177996936
0.019306621,0.019862101,0.020900698,-0.255158246,-0.002672872,-0.257831118
0.019895282,0.019819835,0.019913854,-0.235503703,-0.005567519,-0.241071222
0.020246958,0.019504068,0.019854076,-0.208778575,0.005678901,-0.203099674
0.019712413,0.017827828,0.02038075,-0.119279779,9.60E-05,-0.119183803
0.020390576,0.018938102,0.017951291,-0.171683609,-0.018192694,-0.189876303
0.021441789,0.02742471,0.024263736,0.090828113,-0.012298528,0.078529585
0.022223042,0.027944425,0.023451464,0.043523066,0.006062675,0.049585741
0.022485254,0.026812464,0.022769161,0.032088358,-0.000962093,0.031126265
0.022323821,0.028338354,0.022388686,0.067137457,0.005264654,0.072402111
0.022970542,0.026873445,0.023673343,-0.039184216,0.004506988,-0.034677228
0.022395911,0.025954867,0.023016565,0.038045313,-0.002527201,0.035518112
0.023277644,0.026958434,0.02236267,-0.03717427,0.003101406,-0.034072864
0.023548959,0.027136151,0.02268862,-0.042654879,0.008210834,-0.034444045
0.023502071,0.026788609,0.022189792,-0.049714685,-0.008376155,-0.05809084
0.023405559,0.025971863,0.022740047,-0.045011535,-0.005645327,-0.050656862
0.02376763,0.026943874,0.022694534,-0.029885856,0.000910064,-0.028975792
0.023861928,0.027428007,0.021702798,-0.046220809,0.003377853,-0.042842956
0.023986988,0.027470989,0.021878118,-0.042696729,-0.014051007,-0.056747736
