x,y,z,u_0,v_0,w_0,density,Neighbours
0.025016833,0.007385785,-0.12766758,-0.0040431358779237205,0.000272272327594818,0.004873430187124964,1056.054604217322,10.0
0.028424516,0.016578276,-0.12123213,0.0032623589109788405,0.005034555239685385,-0.0015192352811541313,1056.0580174590066,13.0
0.018914545,0.017925417,-0.13158242,-0.002662619730831465,-0.0017633137927185547,0.0017294240177195485,1056.064352678128,12.0
0.024313852,0.017062876,-0.12560272,-4.0198664569045184e-05,0.00261085171408932,-0.00018241078449487524,1056.061584318527,11.0
0.021335427,0.021968558,-0.12796159,-0.003268631050611907,-0.0017278142406069621,0.001555766577421515,1056.077545707127,12.0
0.027836915,0.018341918,-0.1214047,0.002843559450818005,0.002233107735982696,-0.0009786997031109588,1056.053262334563,13.0
0.020583153,0.021172028,-0.12926911,-0.0011420791034363212,-0.0009670129493485492,-8.822294826173434e-05,1056.0823282179838,10.0
0.028839916,0.007821595,-0.12298539,-0.004569673058791819,0.002317495147941686,0.004881808254935323,1056.0533549752927,12.0
0.028842773,0.021539103,-0.11976711,0.0014268976470053249,-0.00029557933769507207,0.002969204751777367,1056.0569198853805,10.0
0.029952101,0.007507637,-0.12201537,-0.004093348023165094,0.0019610768286070553,0.002863070912398842,1056.0560653102302,10.0
0.023506368,0.022078805,-0.12567179,-0.002721740705449689,0.0003915146793175635,0.00496357955990753,1056.0606040445562,11.0
0.031889912,0.018224247,-0.11662032,0.001863797629456855,0.002513954034751521,0.00043460372113031707,1056.051751343871,12.0
0.026249034,0.019928684,-0.12220864,0.0017507737189530917,-0.000661214355143715,-0.0001060675464066738,1056.0566313406948,12.0
0.024207236,0.007218376,-0.12860753,-0.0043354591165629995,0.0006347541879282139,0.005011369354146999,1056.053412320997,12.0
0.02065978,0.019149313,-0.12958936,-0.004307339884461936,-0.0030218124702122828,0.0015196581188227376,1056.0504373494666,10.0
0.029058453,0.020619297,-0.11909767,0.002768885954131807,-4.49619555645304e-05,0.0016198602053289868,1056.0468354972982,11.0
0.026935469,0.011874856,-0.12377825,-0.0029394843974647053,0.004988635712427806,0.0032483090231374733,1056.1209341360186,12.0
0.023877865,0.02156719,-0.12533239,-0.0018799973849009182,-0.001012932062188526,0.003332603753814242,1056.0606100978205,10.0
0.025159488,0.013623493,-0.12614906,0.0009099064094096537,0.006005674506661701,0.00012605148160363462,1056.0572652184333,12.0
0.027770733,0.005774854,-0.12531622,-0.0033329695863407623,-0.001277855883224667,0.005385534087471359,1056.050287212879,10.0
0.031025426,0.018389333,-0.1176248,0.003305989919389667,0.0028250362219270336,0.0007807724704183209,1056.0524021154488,11.0
0.032574285,0.009980668,-0.11775821,-0.00017539440404037206,-0.0017093564824313772,0.0023877012401798676,1056.0638983280246,11.0
