x,y,z,us_mag_0,noise_values,us_mag_noisy_0
0.070335388,0.012085142,-0.15474525,-0.120816777,0.002088605,-0.118728172
0.038690571,0.02928135,-0.14835815,-0.205743738,0.002747381,-0.202996357
0.061129369,0.009477321,-0.14064352,-0.230277288,0.002335387,-0.227941901
0.080181934,-0.000658528,-0.15281971,-0.111796307,0.001639881,-0.110156425
0.047005601,-0.004128606,-0.14896932,-0.149045864,-0.000541743,-0.149587607
0.055795565,-0.010976729,-0.14793903,-0.086255148,0.006082853,-0.080172296
0.020951012,0.02543306,-0.14429192,-0.158823302,0.004717229,-0.154106074
0.055731639,0.010375087,-0.15332074,-0.214640006,-0.014954703,-0.229594709
0.059866082,-0.00108184,-0.13890834,-0.183991259,-0.016621866,-0.200613125
0.022917831,0.024947628,-0.12869483,-0.428188067,-0.024261142,-0.452449209
0.041396346,0.025029792,-0.14532159,-0.448963462,-0.005782811,-0.454746273
0.056728333,0.004315964,-0.14104551,-0.279915829,0.005684752,-0.274231077
0.051482446,-0.006732624,-0.15751082,-0.106790577,-0.006054842,-0.112845419
0.061617445,0.011014031,-0.1432272,-0.238682133,0.003309713,-0.23537242
0.059695967,0.018103819,-0.14073204,-0.222592279,0.015270054,-0.207322225
0.029004816,0.02628061,-0.13266049,-0.474854733,0.020431722,-0.454423011
0.073589273,0.015071722,-0.14857543,-0.104926996,-0.012360063,-0.117287059
0.05305925,0.003027541,-0.13383026,-0.211462956,-0.003017907,-0.214480863
0.044620171,0.002894183,-0.14879148,-0.190906694,-0.001150101,-0.192056795
0.038956519,0.024761828,-0.14396292,-0.567697581,0.024313607,-0.543383975
0.0460306,0.02886039,-0.13030589,-0.240960008,0.012734234,-0.228225774
0.069346353,-0.012150472,-0.14658804,-0.091316366,-0.00649197,-0.097808336
0.069770567,0.004125354,-0.14767994,-0.158524534,0.010894714,-0.14762982
0.074640818,-0.008775605,-0.16375181,-0.074419274,-0.017784994,-0.092204268
0.069068328,0.00055986,-0.13705088,-0.137801055,-0.007108617,-0.144909672
0.040737171,0.023494743,-0.139797,-0.648494652,0.016961854,-0.631532798
0.03184443,0.030204361,-0.14013928,-0.556720585,0.010444519,-0.546276066
0.025536189,0.025025651,-0.13363901,-0.432003591,0.010184826,-0.421818765
0.073533103,0.004611961,-0.14790902,-0.14347465,-0.009491298,-0.152965949
0.048760463,0.004847719,-0.13249336,-0.187715004,-0.00815384,-0.195868844
0.050771445,0.00779691,-0.14495707,-0.335871036,0.001758286,-0.33411275
0.057165939,0.013783582,-0.14964131,-0.256717186,-0.006360085,-0.263077272
0.056017868,0.029947164,-0.14517416,-0.110265462,-0.013719418,-0.12398488
0.042746469,0.010585245,-0.15345219,-0.173008906,0.007896067,-0.165112839
0.049104378,0.025153011,-0.12983875,-0.180396495,0.011764837,-0.168631658
0.064656235,-0.007001077,-0.15527207,-0.112443469,-0.008862866,-0.121306335
0.067591116,0.003211469,-0.14193882,-0.160659869,-0.011875386,-0.172535255
0.077013448,-0.008362006,-0.16295718,-0.083325909,-0.007034147,-0.090360056
0.047909539,0.006464989,-0.12909204,-0.127409365,-0.008380683,-0.135790048
0.026872292,0.020650981,-0.13332401,-0.376700053,0.014764334,-0.36193572
0.044056322,0.014738288,-0.15421553,-0.15904203,0.01383186,-0.14521017
0.042279858,0.013943759,-0.15228358,-0.225561603,0.01263845,-0.212923153
0.071282886,0.013166726,-0.14116399,-0.113739449,-0.006359376,-0.120098825
0.059555281,-0.005522579,-0.15378773,-0.1298015,-0.011084871,-0.140886371
0.057131007,0.003296627,-0.14607595,-0.266925385,-0.018244587,-0.285169972
0.061983738,-0.001304488,-0.15540102,-0.142161106,0.008160499,-0.134000607
0.05878694,0.003604017,-0.15081364,-0.226729207,0.008073469,-0.218655738
0.043928578,0.030140819,-0.12949108,-0.254427057,0.017885994,-0.236541063
0.073529154,0.007830387,-0.14542423,-0.137560964,0.012643581,-0.124917384
0.049985182,0.006838814,-0.14398929,-0.330745585,-0.002164531,-0.332910116
0.071979798,-0.00460215,-0.159043,-0.10920308,0.006035205,-0.103167875
0.060086727,0.021114526,-0.14822541,-0.177437298,0.009042111,-0.168395187
0.055388357,0.001569689,-0.14298886,-0.265024442,0.022759505,-0.242264937
0.034141377,0.020226263,-0.15096366,-0.21484844,-0.000515377,-0.215363817
0.043927327,0.021385973,-0.12483133,-0.105281927,0.010787437,-0.09449449
0.069620088,-0.009600105,-0.16281675,-0.081477415,0.004910107,-0.076567308
0.068420999,-0.010203067,-0.14439975,-0.103814298,-0.017342917,-0.121157215
0.044899523,0.027265685,-0.14714602,-0.226999142,-0.011177287,-0.238176429
0.058368709,0.012281372,-0.14102794,-0.282481461,0.000301536,-0.282179925
