x,y,z,us_x,us_y,us_z,us_mag_1,r_x,r_y,r_z
0.015459103,0.022715641,0.022802429,-0.004527323,-0.263132207,0.015560628,-0.26363078,0.01717297,0.998108821,-0.059024323
0.017630313,0.023409303,0.022688817,0.001881714,-0.374540843,0.021869004,-0.375183472,-0.005015449,0.998287162,-0.058288826
0.018179162,0.024266651,0.022556026,0.004448054,-0.413024641,0.023761117,-0.41373147,-0.010751066,0.998291573,-0.057431254
0.018093746,0.023646426,0.024491485,-0.001615751,0.164553069,-0.012692876,0.165049787,-0.009789479,0.996990494,-0.076903318
0.018996714,0.027880542,0.021970617,0.008794929,-0.439477808,0.02349257,-0.440193134,-0.019979705,0.998374972,-0.053368778
0.019185789,0.027804067,0.022254251,0.00939241,-0.426259762,0.024070857,-0.427042162,-0.021994105,0.998167862,-0.056366465
0.019718064,0.027889192,0.022277659,0.011583822,-0.416693363,0.023657533,-0.417525116,-0.027744013,0.998007897,-0.056661341
0.020030472,0.027377801,0.021843372,0.012937004,-0.41732254,0.021617898,-0.418082291,-0.030943679,0.998182772,-0.05170728
0.01877806,0.027371243,0.022442702,0.007408254,-0.421976244,0.024571756,-0.422755963,-0.017523712,0.99815563,-0.058122789
0.018975146,0.027969746,0.022829032,0.008179568,-0.413140155,0.025936862,-0.414034315,-0.019755772,0.997840373,-0.062644232
0.020070728,0.026980784,0.0219757,0.012795327,-0.408813075,0.021665423,-0.409586671,-0.031239609,0.998111276,-0.05289582
0.019860314,0.02784,0.02290282,0.011676876,-0.398268788,0.025285247,-0.399241431,-0.029247656,0.997563771,-0.063333225
0.019503618,0.027277986,0.02292384,0.009918972,-0.391776528,0.024811482,-0.392686699,-0.025259252,0.997682196,-0.063183912
0.020329321,0.028510086,0.022652961,0.01419503,-0.409922833,0.025101747,-0.410935914,-0.034543172,0.997534698,-0.061084336
0.019760687,0.028003566,0.023136443,0.011066528,-0.391121685,0.025862782,-0.392132024,-0.028221434,0.997423473,-0.065954273
0.020009998,0.027396666,0.022974275,0.011541598,-0.374891627,0.023975385,-0.37583475,-0.030709235,0.99749059,-0.063792357
0.020493869,0.027870601,0.022902345,0.005596643,-0.154752388,0.009827355,-0.155165076,-0.036068962,0.997340327,-0.063334835
0.018431054,0.027016126,0.023170058,0.00546171,-0.396371534,0.026075671,-0.39726586,-0.013748249,0.997748796,-0.065637836
0.019179031,0.027823076,0.023419606,0.008412234,-0.382964231,0.026443617,-0.38396827,-0.021908669,0.997385098,-0.068869277
0.018728938,0.027906608,0.023354173,0.006777451,-0.395710587,0.027068887,-0.396693241,-0.017084866,0.997522888,-0.068236319
0.019259639,0.027514231,0.023498619,0.008595207,-0.37765103,0.02631092,-0.378664023,-0.022698768,0.997324823,-0.069483547
0.020658081,0.027000327,0.022748996,0.004715865,-0.125474863,0.007688299,-0.125798611,-0.037487415,0.997426457,-0.061115927
0.01891396,0.02747106,0.023551773,0.007259509,-0.381375772,0.0267759,-0.382383484,-0.018984892,0.997364656,-0.070023684
0.018997546,0.02800028,0.023502221,0.007686158,-0.383404813,0.026867,-0.384421856,-0.019994071,0.997354357,-0.069889367
0.01948476,0.027416535,0.023651956,0.0061851,-0.245898066,0.017518604,-0.246598896,-0.02508162,0.997158014,-0.071040885
0.017347019,0.026751176,0.023226857,0.000885019,-0.405477442,0.026844908,-0.406366077,-0.002177885,0.997813216,-0.066060898
0.018238014,0.027901309,0.023416322,0.004857259,-0.410684211,0.028367066,-0.411691395,-0.011798301,0.997553547,-0.068903714
