x,y,z,us_mag_0,noise_values,us_mag_noisy
0.008421989,0.01523801,0.004630893,-0.031665697,0.001999842,-0.029665855
0.009724921,0.014722447,0.005789663,-0.178090822,-0.002524674,-0.180615496
0.008767251,0.015476985,0.004953807,-0.05530204,0.000331735,-0.054970305
0.004888038,0.011525143,0.006466385,-0.022692772,-0.001157052,-0.023849824
0.004355152,0.011638734,0.007737083,-0.015234938,0.001971931,-0.013263007
0.005965326,0.011209102,0.00727454,-0.094592408,-0.004833019,-0.099425427
0.00506044,0.009651235,0.006392627,-0.023119008,-0.001021859,-0.024140867
0.005751065,0.009199262,0.006880323,-0.038461342,0.005136715,-0.033324627
0.005162323,0.009681824,0.00824072,-0.048973073,0.003299078,-0.045673995
0.009121681,0.012840244,0.009736911,-0.110913824,-0.000977046,-0.11189087
0.010138095,0.013881775,0.010446857,-0.03094553,0.00179839,-0.02914714
0.009572651,0.013231605,0.011462887,0.066165436,-0.001632294,0.064533142
0.009089921,0.013669714,0.011260307,0.037369968,0.000395172,0.03776514
0.010202291,0.011935654,0.011905387,0.055855474,0.003391082,0.059246556
0.008795404,0.012222584,0.011917376,0.037972628,0.002008646,0.039981274
0.009125064,0.012613493,0.011956234,0.011475056,0.002319627,0.013794683
0.008746875,0.013755889,0.010084656,-0.102041728,-0.006144897,-0.108186625
0.008596733,0.01376948,0.010940701,0.032860365,0.004176748,0.037037113
0.012716953,0.019166119,0.007983846,-0.110367787,6.30E-05,-0.110304818
0.012139466,0.02000862,0.007817362,0.012982435,0.00250355,0.015485985
0.011232807,0.019071244,0.00851656,0.011708492,0.001545355,0.013253847
0.012031237,0.019594176,0.006988856,0.012536847,0.000802493,0.01333934
0.010772598,0.018458193,0.007995728,-0.063733265,0.002145507,-0.061587758
0.010442548,0.018312456,0.007539122,-0.059941635,-0.003808095,-0.06374973
0.010308689,0.018275885,0.00694875,-0.033554726,0.000600777,-0.032953949
0.012950787,0.018030953,0.007404391,-0.123572567,-0.002156347,-0.125728914
